"st","year","series","value"
"AL",2005,"unrate",4.5
"AL",2006,"unrate",4
"AL",2007,"unrate",4
"AL",2008,"unrate",5.9
"AL",2009,"unrate",10.1
"AL",2010,"unrate",10.4
"AL",2011,"unrate",9.6
"AL",2012,"unrate",8.2
"AL",2013,"unrate",7.3
"AL",2014,"unrate",6.7
"AL",2015,"unrate",6.1
"AL",2016,"unrate",5.9
"AL",2017,"unrate",4.5
"AL",2018,"unrate",3.9
"AL",2019,"unrate",3.2
"AL",2020,"unrate",6.5
"AL",2021,"unrate",3.5
"AK",2005,"unrate",6.9
"AK",2006,"unrate",6.6
"AK",2007,"unrate",6.3
"AK",2008,"unrate",6.5
"AK",2009,"unrate",8
"AK",2010,"unrate",8.1
"AK",2011,"unrate",7.7
"AK",2012,"unrate",7.3
"AK",2013,"unrate",7
"AK",2014,"unrate",6.7
"AK",2015,"unrate",6.3
"AK",2016,"unrate",6.6
"AK",2017,"unrate",6.5
"AK",2018,"unrate",6
"AK",2019,"unrate",5.5
"AK",2020,"unrate",8.3
"AK",2021,"unrate",6.4
"AZ",2005,"unrate",4.7
"AZ",2006,"unrate",4.3
"AZ",2007,"unrate",3.8
"AZ",2008,"unrate",5.8
"AZ",2009,"unrate",9.7
"AZ",2010,"unrate",10.3
"AZ",2011,"unrate",9.4
"AZ",2012,"unrate",8.4
"AZ",2013,"unrate",7.8
"AZ",2014,"unrate",6.8
"AZ",2015,"unrate",6.1
"AZ",2016,"unrate",5.5
"AZ",2017,"unrate",5
"AZ",2018,"unrate",4.8
"AZ",2019,"unrate",4.9
"AZ",2020,"unrate",7.7
"AZ",2021,"unrate",5
"AR",2005,"unrate",5.3
"AR",2006,"unrate",5.3
"AR",2007,"unrate",5.4
"AR",2008,"unrate",5.4
"AR",2009,"unrate",7.7
"AR",2010,"unrate",7.9
"AR",2011,"unrate",7.9
"AR",2012,"unrate",7.3
"AR",2013,"unrate",7
"AR",2014,"unrate",5.9
"AR",2015,"unrate",5
"AR",2016,"unrate",4
"AR",2017,"unrate",3.7
"AR",2018,"unrate",3.6
"AR",2019,"unrate",3.5
"AR",2020,"unrate",6.1
"AR",2021,"unrate",4.1
"CA",2005,"unrate",5.4
"CA",2006,"unrate",4.9
"CA",2007,"unrate",5.3
"CA",2008,"unrate",7.3
"CA",2009,"unrate",11.5
"CA",2010,"unrate",12.5
"CA",2011,"unrate",11.9
"CA",2012,"unrate",10.5
"CA",2013,"unrate",9
"CA",2014,"unrate",7.6
"CA",2015,"unrate",6.2
"CA",2016,"unrate",5.5
"CA",2017,"unrate",4.8
"CA",2018,"unrate",4.3
"CA",2019,"unrate",4.1
"CA",2020,"unrate",10.3
"CA",2021,"unrate",7.4
"CO",2005,"unrate",5.1
"CO",2006,"unrate",4.3
"CO",2007,"unrate",3.7
"CO",2008,"unrate",4.9
"CO",2009,"unrate",7.9
"CO",2010,"unrate",9.1
"CO",2011,"unrate",8.7
"CO",2012,"unrate",8
"CO",2013,"unrate",6.8
"CO",2014,"unrate",5
"CO",2015,"unrate",3.7
"CO",2016,"unrate",3.1
"CO",2017,"unrate",2.6
"CO",2018,"unrate",3
"CO",2019,"unrate",2.6
"CO",2020,"unrate",6.9
"CO",2021,"unrate",5.4
"CT",2005,"unrate",4.8
"CT",2006,"unrate",4.4
"CT",2007,"unrate",4.5
"CT",2008,"unrate",5.7
"CT",2009,"unrate",8.3
"CT",2010,"unrate",9.6
"CT",2011,"unrate",9
"CT",2012,"unrate",8.4
"CT",2013,"unrate",8
"CT",2014,"unrate",6.6
"CT",2015,"unrate",5.6
"CT",2016,"unrate",4.9
"CT",2017,"unrate",4.4
"CT",2018,"unrate",3.9
"CT",2019,"unrate",3.5
"CT",2020,"unrate",7.8
"CT",2021,"unrate",6.3
"DE",2005,"unrate",4.5
"DE",2006,"unrate",3.9
"DE",2007,"unrate",3.6
"DE",2008,"unrate",5
"DE",2009,"unrate",8.3
"DE",2010,"unrate",8.7
"DE",2011,"unrate",7.6
"DE",2012,"unrate",7.1
